,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,outcome,duration,launchyr,launchmo,avgpledge,category_combo,log_goal,norm_goal,duration2,duration3,norm_duration,predict,SSTO,SSR,blurb,launch,created,loghours,score1,score2,score3,score4,category2,cluster,textScore
474,1445422956,Little Free Libraries for Northampton,Art,Art,USD,2014-08-30,600.0,2014-07-31,606.0,successful,12,US,606.0,606.0,600.0,1,30,2014,7,50.5,Art:Art,6.39692965521615,-0.31706696000697804,6,-2.6339470316038196,-2.9577914613607095,0.201835758166768,0.628146372116286,3.14427608575715e-05,"I got permission from the Borough I live in to place two Little Free Libraries in a local park, to share books with everyone!,",1406763379,1402622893,7.047634605771823,-0.05930309988857196,-0.032651623749576884,-0.23957261068244098,-0.020594715325078793,Art,2,2.373920256395271
475,1445693253,Make my dreams a reality!,Art,Art,AUD,2014-07-22,1500.0,2014-07-14,1.0,failed,1,AU,0.94,0.94,1410.84,0,8,2014,7,1.0,Art:Art,7.25194055066765,0.041610671569657996,2,-24.6339470316038,-1.6553292903150099,0.174578643082671,0.0430326574367543,0.00108007533248367,"I want to prove to the world that dreams can became a reality if we work together and support one another.,",1405352079,1405348267,0.05722014032989146,-0.021745032784815956,-0.29937912460855715,0.279561852127354,-0.1411830340578909,Art,2,-5.697287248098617
476,1446573398,Custom T-Shirts & Handmade Jewelry Design Business,Product Design,Design,USD,2014-08-13,1500.0,2014-07-14,75.0,failed,1,US,75.0,75.0,1500.0,0,30,2014,7,75.0,Design:Product Design,7.3132203870903005,-1.24552802335242,6,-2.6339470316038196,-2.8380027442079903,0.32920399838436404,0.0430326574367543,0.0148257059866724,"My dream is to build a business and brand creating t-shirt designs & custom jewelry to one day leave my children an EMPIRE!,",1405372695,1404875972,4.927098681196242,-0.06725182770815233,0.012096246219900422,-0.2548483618981255,-0.03428992502816859,Product Design,2,-6.7706224636454095
477,1446961415,"The Tankertainment Center, the Evoloution of Entertainment",Product Design,Design,USD,2014-09-13,50000.0,2014-07-15,121.0,failed,4,US,121.0,121.0,50000.0,0,60,2014,7,30.25,Design:Product Design,10.819778284410301,0.985423848886426,12,27.3660529683962,-2.35060432324063,0.19307335059979602,0.0430326574367543,0.00020649092386024,"The Tankertainment Center is a combination Aquarium Stand/Entertainment Center. It not only holds all equipment it also hides it.,",1405377335,1405110216,4.3067604065305085,-0.05034671569190838,-0.016577686218014486,-0.2302650056231472,0.03165181963658926,Product Design,2,-1.4334355457305763
478,1447179322,Food Science and Technology Education,Food,Food,USD,2014-08-16,22000.0,2014-07-17,6.0,failed,2,US,6.0,6.0,22000.0,0,30,2014,7,3.0,Food:Food,9.99879773234045,1.3945845401433603,6,-2.6339470316038196,-2.48691126875025,0.0750481368759983,0.0430326574367543,0.0175284375566079,"An education in Food Science at The University of Tennessee will give me the chance to passionately research sustainable food products.,",1405624999,1405441397,3.9318365259111823,-0.06571986599779572,-0.008688138114494497,-0.1963572655917118,0.07309451625469092,Food,2,-1.3301039287316694
479,1447305597,I'm Making A MEGA Pizza,Food,Food,GBP,2014-08-08,15.0,2014-07-09,0.0,failed,0,GB,0.0,0.0,25.21,0,30,2014,7,0.0,Food:Food,3.22724074119983,-0.829679422134647,6,-2.6339470316038196,-3.37217191461121,0.142411524059717,0.0430326574367543,0.00422911141780314,"I'm making a mega pizza with lots of toppings and i need your help to make fund it.,",1404924859,1404860033,2.8907729119910015,-0.05875851904355146,-0.14214747561855964,0.8032999526081022,-0.4675923493504318,Food,0,-5.363266843021101
480,144826746,My Family Cakes,Food,Food,GBP,2014-08-20,1000.0,2014-07-21,160.0,failed,11,GB,271.56,265.24,1657.74,0,30,2014,7,14.5454545454545,Food:Food,7.41321050795812,0.545292642867116,6,-2.6339470316038196,-2.82493081420799,0.0682479407156608,0.0430326574367543,0.0193753042443906,"I have been making cakes for family and friends for some time and now have the skills and passion to offer cakes professionally,",1405960000,1405789337,3.8587570063035415,-0.056879572694542246,-0.01064348489710766,-0.1312465888349782,0.3688591541341642,Food,3,-0.9522880142267072
481,1449116602,Pota-To-Go: Help Deliver Potato Salad Bites,Food,Food,USD,2014-08-13,10.0,2014-07-14,24.0,successful,6,US,24.0,24.0,10.0,1,30,2014,7,4.0,Food:Food,2.30258509299405,-1.13340251543678,6,-2.6339470316038196,-3.493054195806,0.24573355321676002,0.628146372116286,0.00146615554058728,"You bought a bite from the Potato Salad Kickstarter. How can you guarantee it'll make it to you?,",1405364369,1404860208,4.941961816042236,1.3351125011717866,-0.04076057758441923,0.9497007990458727,0.8981156133536005,Potato Salad,1,-1.8093948940649218
482,1449285747,Applewood Smoked Wings,Food,Food,USD,2014-08-07,20.0,2014-07-08,40.0,canceled,3,US,40.0,40.0,20.0,0,30,2014,7,13.333333333333302,Food:Food,2.99573227355399,-0.9057233721775308,6,-2.6339470316038196,-3.40243752942603,0.215804471106672,0.0430326574367543,6.991181338919979e-05,"I absolutely love barbecues.  So when I saw that someone was making potato salad, I wanted to make some wings.,",1404839164,1404619164,4.112693700890297,-0.05054201528873631,-0.016915708269035122,0.977989711245166,1.226954825377571,Food,1,-1.9558796544461101
483,1450183816,AQUABOT: Makes Your Water Bottle Spray 25 Feet!,Product Design,Design,USD,2014-08-27,15000.0,2014-07-14,71668.2,successful,1819,US,71668.2,71668.2,15000.0,1,44,2014,7,39.399780098955496,Design:Product Design,9.61580548008435,0.21942897283190999,9,11.366052968396199,-2.2497843997877798,0.23924566239098002,0.628146372116286,0.0010114002612245,"Turn your water bottle into a super soaker with 3 spray patterns. Great for camping, picnics, tailgating, backpacking, pets and more.,",1405339791,1401298719,7.023331436829619,-0.057880455091328074,-0.02459712092731805,-0.23356263882667055,0.029358783004751237,Product Design,2,-1.0506112358951856
