"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","category_combo","log_goal","norm_goal","duration2","duration3","norm_duration","predict","SSTO","SSR"
1021734011,"Baked Beans (Canceled)","Food","Food","USD","2014-08-07",10,"2014-07-08",0,"canceled",0,"US",0,0,10,0,30,2014,7,0,"Food:Food",2.30258509299405,-1.13340251543678,6,-2.63394703160382,-3.493054195806,0.24573355321676,0.0430326574367543,0.00146615554058728
1022016221,"Walking To My Friends","Documentary","Film & Video","USD","2014-09-01",10000,"2014-07-04",1795.11,"failed",37,"US",1795.11,1795.11,10000,0,59,2014,7,48.5164864864865,"Film & Video:Documentary",9.21034037197618,0.0612742086372982,12,26.3660529683962,-2.06423530149371,0.225960689901085,0.0430326574367543,0.000342899555817128
1022528509,"Tissue4boogers","Music","Music","USD","2014-09-22",6000,"2014-07-31",505,"failed",14,"US",505,505,6000,0,53,2014,7,36.0714285714286,"Music:Music",8.69951474821019,0.186031755934616,11,20.3660529683962,-2.20619477390989,0.199471991204648,0.0430326574367543,6.35392555278894e-05
1023422359,"Lets make some homemade cards!","Art","Art","USD","2014-08-13",500,"2014-07-14",0,"failed",0,"US",0,0,500,0,30,2014,7,0,"Art:Art",6.21460809842219,-0.393550972695129,6,-2.63394703160382,-2.98162676236061,0.208312640115404,0.0430326574367543,7.5602582454664e-07
1023613654,"PiCE+, a metal outdoor case for the Raspberry Pi B+ & Camera","Product Design","Design","GBP","2014-08-27",21300,"2014-07-28",4418,"failed",94,"GB",7499.96,7326.09,35320.45,0,30,2014,7,47,"Design:Product Design",10.4722173952936,0.76429770781101,6,-2.63394703160382,-2.42502006748923,0.277619722029802,0.0430326574367543,0.00492475229201318
1024372156,"Be a Hero! Help Super Giomar X Autism Art Projects","Art","Art","USD","2014-08-08",50,"2014-07-09",86,"successful",5,"US",86,86,50,1,30,2014,7,17.2,"Art:Art",3.91202300542815,-1.35948692983009,6,-2.63394703160382,-3.2826488122733,0.313499632956054,0.628146372116286,0.0112479791338672
102543651,"Perro Gringo - Gringo Dog Hotdog & Sandwich Shop","Food","Food","USD","2014-08-27",25000,"2014-07-28",0,"failed",0,"US",0,0,25000,0,30,2014,7,0,"Food:Food",10.1266311038503,1.43657416849588,6,-2.63394703160382,-2.47019932891522,0.0740746488294335,0.0430326574367543,0.0177871551466963
1026952639,"Art Therapy Pedalers","Art","Art","USD","2014-08-06",6000,"2014-07-07",6604,"successful",95,"US",6604,6604,6000,1,30,2014,7,69.5157894736842,"Art:Art",8.69951474821019,0.648868997127987,6,-2.63394703160382,-2.65676941144803,0.138577817694859,0.628146372116286,0.00474243298258679
1027555266,"Hydro Puppy","Product Design","Design","USD","2014-08-27",3000,"2014-07-28",0,"failed",0,"US",0,0,3000,0,30,2014,7,0,"Design:Product Design",8.00636756765025,-0.804532025143135,6,-2.63394703160382,-2.74738607782801,0.302585654048578,0.0430326574367543,0.00905209747328102
102785661,"Kristal Label Barware","Product Design","Design","USD","2014-08-13",9500,"2014-07-14",5,"failed",1,"US",5,5,9500,0,30,2014,7,5,"Design:Product Design",9.15904707758863,-0.0711711093704844,6,-2.63394703160382,-2.59669373206856,0.25722867711835,0.0430326574367543,0.00247859944128018
